idx,sample_id,py_patch,py_px1,py_px1m,py_px2,matlab_sr,sr1,sr2,sr3,sr4,Manual,Hypahl_transect
1,4508001,1.96,22.26,21.88,49.04,1,1.96,22.26,49.04,1,0.5,0
2,4508002,1.56,22.14,22.04,45.65,1,1.56,22.14,45.65,1,0.5,0
3,4508003,1.16,15.2,14.91,32.81,1,1.16,15.2,32.81,1,0,0
4,4508004,2.27,12.74,12.5,32.3,1,2.27,12.74,32.3,1,0,0
5,4508005,9.21,29.03,28.39,53.05,2,9.21,29.03,53.05,2,1,8
6,4508006,87.39,43.98,43.15,92.12,88,87.39,43.98,92.12,88,40,87
7,4508007,15.53,12.13,11.65,37.46,16,15.53,12.13,37.46,16,1,12
8,4508008,5.81,8,7.33,26.89,5,5.81,8,26.89,5,0.5,1
9,4508009,2.35,19.02,18.56,43.13,1,2.35,19.02,43.13,1,0.2,2
10,4508010,3.36,17.17,17.08,36.82,3,3.36,17.17,36.82,3,0.2,2
11,4508011,15.7,18.8,18.18,44.95,10,15.7,18.8,44.95,10,0.5,12
12,4508012,0.71,9.92,9.71,26.93,0,0.71,9.92,26.93,0,0,0
13,4508013,0.84,15.47,15.42,32.14,1,0.84,15.47,32.14,1,0.1,3
14,4508015,0.88,8.72,8.54,27.04,1,0.88,8.72,27.04,1,0,0
15,4508016,26.3,19.03,18.08,56.09,20,26.3,19.03,56.09,20,3,34
16,4508018,17.12,13.22,12.48,33.88,8,17.12,13.22,33.88,8,1,6
17,4508019,49.15,22.57,21.24,57.32,30,49.15,22.57,57.32,30,15,68
18,4508021,22.65,10.04,8.83,28.39,13,22.65,10.04,28.39,13,5,15
19,4508022,65.63,31.1,30.05,75.63,58,65.63,31.1,75.63,58,40,50
20,4508023,70.59,30.28,29.46,65.57,56,70.59,30.28,65.57,56,20,78
21,4508024,32.37,15.78,14.79,40.33,18,32.37,15.78,40.33,18,10,21
22,4508025,4.37,2.65,2.57,9.03,3,4.37,2.65,9.03,3,2,6
23,4508026,0.14,11.68,11.53,26.83,0,0.14,11.68,26.83,0,0,0
24,4508027,40.25,17.31,16.14,40.17,18,40.25,17.31,40.17,18,5,26
25,4508030,6.61,19.29,18.88,38.55,2,6.61,19.29,38.55,2,0.1,1
26,4508032,13.15,6.55,5.89,22.79,7,13.15,6.55,22.79,7,5,11
27,4508033,77.5,31.68,30.97,70.99,69,77.5,31.68,70.99,69,30,82
28,4508034,11.53,15.34,14.96,32.7,9,11.53,15.34,32.7,9,3,7
29,4508035,69.82,34.42,33.34,79.05,65,69.82,34.42,79.05,65,15,57
30,4508036,13.88,9.77,9.47,29.39,10,13.88,9.77,29.39,10,1,8
31,4508037,14.18,14.31,13.71,38.3,10,14.18,14.31,38.3,10,2,22
32,4508038,23.36,16.63,16.02,44.24,15,23.36,16.63,44.24,15,3,13
33,4508039,32.8,19.51,18.67,46.09,17,32.8,19.51,46.09,17,3,32
34,4508040,69.31,32.24,31.37,79.05,69,69.31,32.24,79.05,69,15,51
35,4508041,2.16,10.8,10.63,31.97,1,2.16,10.8,31.97,1,0,0
36,4508042,3.51,11.26,10.98,29.98,1,3.51,11.26,29.98,1,0.1,6
37,4508043,71.62,31.32,30.02,68.42,51,71.62,31.32,68.42,51,20,57
38,4508044,60.28,22.07,21.19,50.81,29,60.28,22.07,50.81,29,5,35
39,4508045,52.36,23.43,22.67,54.67,39,52.36,23.43,54.67,39,15,51
40,4508046,42.08,16.69,15.85,51.89,33,42.08,16.69,51.89,33,5,23
41,4508047,30.58,19.44,18.84,42.31,13,30.58,19.44,42.31,13,3,22
42,4508048,58.6,22.06,20.67,47.09,40,58.6,22.06,47.09,40,8,55
43,4508049,0.55,26.33,26.3,51.03,0,0.55,26.33,51.03,0,0,0
44,4508050,52.68,19.68,18.34,66.91,47,52.68,19.68,66.91,47,10,47
45,4508051,10.27,15.77,14.97,41.24,5,10.27,15.77,41.24,5,1,19
46,4508052,0.79,5.85,5.77,21.31,0,0.79,5.85,21.31,0,0,0
47,4508053,18.04,11.29,10.68,33.74,7,18.04,11.29,33.74,7,1,9
48,4508054,33.78,17.63,16.89,41.7,21,33.78,17.63,41.7,21,4,33
49,4508055,17,15.2,14.7,40.86,12,17,15.2,40.86,12,0.5,7
50,4508056,76.63,38.77,38.11,80.87,70,76.63,38.77,80.87,70,45,57
51,4508057,56.26,30.2,29.3,69.32,48,56.26,30.2,69.32,48,10,41
52,4508058,87.89,52.49,52.07,91.3,83,87.89,52.49,91.3,83,50,83
53,4508059,64.74,26.29,25.45,63.06,50,64.74,26.29,63.06,50,15,42
54,4508060,6.98,16.48,15.79,37.92,2,6.98,16.48,37.92,2,0.1,7
55,4508061,20.19,9.22,8.53,31.76,10,20.19,9.22,31.76,10,2,5
56,4508062,6.7,10.84,10.33,29.99,2,6.7,10.84,29.99,2,0.2,6
57,4508065,35.82,14.36,13.61,42.06,24,35.82,14.36,42.06,24,2,14
58,4508066,39.14,17.18,16.35,44.69,26,39.14,17.18,44.69,26,4,30
59,4508067,0.74,8.59,8.1,24.41,0,0.74,8.59,24.41,0,0,0
60,4508068,8.49,9.02,8.53,26.37,4,8.49,9.02,26.37,4,0.1,4
61,4508070,70.81,33.66,33.01,77.07,67,70.81,33.66,77.07,67,15,63
62,4508071,44.66,14.33,13.43,40.6,35,44.66,14.33,40.6,35,10,35
63,4508073,48.2,21.05,20.33,65.42,45,48.2,21.05,65.42,45,10,43
64,4508074,18.16,7.66,6.76,23,8,18.16,7.66,23,8,7,23
65,4508075,41.18,16.82,15.97,45.31,27,41.18,16.82,45.31,27,4,47
66,4508076,14.84,16.25,15.43,41.36,10,14.84,16.25,41.36,10,0.5,10
67,4509001,14.57,10.28,9.48,34.33,9,14.57,10.28,34.33,9,0.5,7
68,4509002,4.96,16.26,15.38,40.85,3,4.96,16.26,40.85,3,0.1,4
69,4509003,19.64,10.2,9.55,32.34,15,19.64,10.2,32.34,15,0.5,11
70,4509004,28.42,13,12.09,35.64,15,28.42,13,35.64,15,2,23
71,4509005,6.02,13.25,12.82,34.93,5,6.02,13.25,34.93,5,0.2,7
72,4509006,5.28,13.19,12.86,30.91,3,5.28,13.19,30.91,3,0.1,5
73,4509007,53.88,23.78,22.84,47.69,34,53.88,23.78,47.69,34,15,41
74,4509009,53.11,25.73,25.05,53.08,43,53.11,25.73,53.08,43,12,48
75,4509011,30.18,21.02,20.22,42.78,18,30.18,21.02,42.78,18,4,25
76,4509012,20.34,17.25,16.75,44.44,12,20.34,17.25,44.44,12,1,8
77,4509013,3.82,11.28,10.35,30.05,2,3.82,11.28,30.05,2,0.1,1
78,4509014,65.25,29.36,28.05,71.61,59,65.25,29.36,71.61,59,35,61
79,4509015,34.64,15.04,13.77,44.55,23,34.64,15.04,44.55,23,3,22
80,4509016,26.7,12.41,11.66,36.85,15,26.7,12.41,36.85,15,2,14
81,4509018,10.38,14.73,14.01,39.7,2,10.38,14.73,39.7,2,0.2,8
82,4509019,8,8.68,8.52,21.21,5,8,8.68,21.21,5,0.1,0
83,4509020,14.18,12.38,11.44,31.85,5,14.18,12.38,31.85,5,0.1,9
84,4509021,60.77,26.77,25.82,67.31,43,60.77,26.77,67.31,43,40,56
85,4509022,9.64,15.03,14.58,36.83,5,9.64,15.03,36.83,5,0.1,4
86,4509023,17.81,19.39,18.77,43.05,7,17.81,19.39,43.05,7,0.5,27
87,4509024,38.77,16.52,15.8,47.32,31,38.77,16.52,47.32,31,5,23
88,4509025,14.06,13.81,12.93,36.17,6,14.06,13.81,36.17,6,0.5,13
89,4509026,3.85,5.18,4.81,18.31,3,3.85,5.18,18.31,3,0.1,3
90,4509027,3.25,8.47,8.02,28.87,1,3.25,8.47,28.87,1,0.1,2
91,4509028,10.97,15.73,15.06,39.58,6,10.97,15.73,39.58,6,0.4,18
92,4509029,58.91,22.57,21.57,57.86,47,58.91,22.57,57.86,47,10,33
93,4509030,84.87,42.84,42.32,83.13,79,84.87,42.84,83.13,79,40,85
94,4509032,23.07,13.73,12.54,43.26,17,23.07,13.73,43.26,17,0.2,6
95,4509034,28.97,16.4,14.81,45.58,26,28.97,16.4,45.58,26,1,18
96,4509035,50.26,24.23,22.85,58.72,43,50.26,24.23,58.72,43,5,38
97,4509038,27.4,14.14,13.11,44.21,22,27.4,14.14,44.21,22,0.2,18
98,4509039,11.37,7.86,7.52,22.88,7,11.37,7.86,22.88,7,0.2,22
99,4509040,46.01,23.71,22.57,57.98,39,46.01,23.71,57.98,39,10,40
100,4509041,29.89,12.14,10.99,39.52,20,29.89,12.14,39.52,20,4,18
268,Thompson_Seedless,88.23,43.08,40.69,78.97,76,88.23,43.08,78.97,76,70,220
269,Ren7,75.79,40.22,38.02,78.56,66,75.79,40.22,78.56,66,40,105